2017-10-20T06:35:09.513Z - error: uncaughtException: ENOENT: no such file or directory, open 'F:\Client-task\Singapore-nodejs\Change\gifbooth\public\photos\topbanner.jpg' date=Fri Oct 20 2017 12:05:09 GMT+0530 (India Standard Time), pid=329008, uid=null, gid=null, cwd=F:\Client-task\Singapore-nodejs\Change\gifbooth, execPath=C:\Program Files\nodejs\node.exe, version=v8.2.1, argv=[C:\Program Files\nodejs\node.exe, F:\Client-task\Singapore-nodejs\Change\gifbooth\server.js], rss=43692032, heapTotal=24653824, heapUsed=21362384, external=311764, loadavg=[0, 0, 0], uptime=258141.7096772, trace=[], stack=[Error: ENOENT: no such file or directory, open 'F:\Client-task\Singapore-nodejs\Change\gifbooth\public\photos\topbanner.jpg']
2017-10-20T06:58:01.357Z - error: uncaughtException: ENOENT: no such file or directory, open 'F:\Client-task\Singapore-nodejs\Change\gifbooth\public\photos\topbanner.jpg' date=Fri Oct 20 2017 12:28:01 GMT+0530 (India Standard Time), pid=329008, uid=null, gid=null, cwd=F:\Client-task\Singapore-nodejs\Change\gifbooth, execPath=C:\Program Files\nodejs\node.exe, version=v8.2.1, argv=[C:\Program Files\nodejs\node.exe, F:\Client-task\Singapore-nodejs\Change\gifbooth\server.js], rss=45182976, heapTotal=25178112, heapUsed=19795256, external=98772, loadavg=[0, 0, 0], uptime=259513.5630119, trace=[], stack=[Error: ENOENT: no such file or directory, open 'F:\Client-task\Singapore-nodejs\Change\gifbooth\public\photos\topbanner.jpg']
2017-10-20T06:58:59.557Z - error: uncaughtException: ENOENT: no such file or directory, open 'F:\Client-task\Singapore-nodejs\Change\gifbooth\public\photos\topbanner.jpg' date=Fri Oct 20 2017 12:28:59 GMT+0530 (India Standard Time), pid=329008, uid=null, gid=null, cwd=F:\Client-task\Singapore-nodejs\Change\gifbooth, execPath=C:\Program Files\nodejs\node.exe, version=v8.2.1, argv=[C:\Program Files\nodejs\node.exe, F:\Client-task\Singapore-nodejs\Change\gifbooth\server.js], rss=44736512, heapTotal=24653824, heapUsed=19533632, external=360916, loadavg=[0, 0, 0], uptime=259571.7630949, trace=[], stack=[Error: ENOENT: no such file or directory, open 'F:\Client-task\Singapore-nodejs\Change\gifbooth\public\photos\topbanner.jpg']
2017-10-20T07:02:13.253Z - error: uncaughtException: ENOENT: no such file or directory, open 'F:\Client-task\Singapore-nodejs\Change\gifbooth\public\photos\topbanner.jpg' date=Fri Oct 20 2017 12:32:13 GMT+0530 (India Standard Time), pid=329008, uid=null, gid=null, cwd=F:\Client-task\Singapore-nodejs\Change\gifbooth, execPath=C:\Program Files\nodejs\node.exe, version=v8.2.1, argv=[C:\Program Files\nodejs\node.exe, F:\Client-task\Singapore-nodejs\Change\gifbooth\server.js], rss=46931968, heapTotal=24653824, heapUsed=20492232, external=1540564, loadavg=[0, 0, 0], uptime=259765.459135, trace=[], stack=[Error: ENOENT: no such file or directory, open 'F:\Client-task\Singapore-nodejs\Change\gifbooth\public\photos\topbanner.jpg']
2017-10-20T07:02:18.077Z - error: uncaughtException: ENOENT: no such file or directory, open 'F:\Client-task\Singapore-nodejs\Change\gifbooth\public\photos\topbanner.jpg' date=Fri Oct 20 2017 12:32:18 GMT+0530 (India Standard Time), pid=329008, uid=null, gid=null, cwd=F:\Client-task\Singapore-nodejs\Change\gifbooth, execPath=C:\Program Files\nodejs\node.exe, version=v8.2.1, argv=[C:\Program Files\nodejs\node.exe, F:\Client-task\Singapore-nodejs\Change\gifbooth\server.js], rss=47927296, heapTotal=26226688, heapUsed=20683112, external=1540564, loadavg=[0, 0, 0], uptime=259770.2828375, trace=[], stack=[Error: ENOENT: no such file or directory, open 'F:\Client-task\Singapore-nodejs\Change\gifbooth\public\photos\topbanner.jpg']
2017-10-20T07:02:54.145Z - error: uncaughtException: ENOENT: no such file or directory, open 'F:\Client-task\Singapore-nodejs\Change\gifbooth\public\photos\topbanner.jpg' date=Fri Oct 20 2017 12:32:54 GMT+0530 (India Standard Time), pid=329008, uid=null, gid=null, cwd=F:\Client-task\Singapore-nodejs\Change\gifbooth, execPath=C:\Program Files\nodejs\node.exe, version=v8.2.1, argv=[C:\Program Files\nodejs\node.exe, F:\Client-task\Singapore-nodejs\Change\gifbooth\server.js], rss=49160192, heapTotal=28323840, heapUsed=21685144, external=1706990, loadavg=[0, 0, 0], uptime=259806.3516365, trace=[], stack=[Error: ENOENT: no such file or directory, open 'F:\Client-task\Singapore-nodejs\Change\gifbooth\public\photos\topbanner.jpg']
2017-10-20T07:04:21.396Z - error: uncaughtException: ENOENT: no such file or directory, open 'F:\Client-task\Singapore-nodejs\Change\gifbooth\public\photos\topbanner.jpg' date=Fri Oct 20 2017 12:34:21 GMT+0530 (India Standard Time), pid=329008, uid=null, gid=null, cwd=F:\Client-task\Singapore-nodejs\Change\gifbooth, execPath=C:\Program Files\nodejs\node.exe, version=v8.2.1, argv=[C:\Program Files\nodejs\node.exe, F:\Client-task\Singapore-nodejs\Change\gifbooth\server.js], rss=48332800, heapTotal=26226688, heapUsed=21154136, external=1737172, loadavg=[0, 0, 0], uptime=259893.6023448, trace=[], stack=[Error: ENOENT: no such file or directory, open 'F:\Client-task\Singapore-nodejs\Change\gifbooth\public\photos\topbanner.jpg']
2017-10-20T07:09:44.152Z - error: uncaughtException: ENOENT: no such file or directory, open 'F:\Client-task\Singapore-nodejs\Change\gifbooth\public\photos\topbanner.jpg' date=Fri Oct 20 2017 12:39:44 GMT+0530 (India Standard Time), pid=329008, uid=null, gid=null, cwd=F:\Client-task\Singapore-nodejs\Change\gifbooth, execPath=C:\Program Files\nodejs\node.exe, version=v8.2.1, argv=[C:\Program Files\nodejs\node.exe, F:\Client-task\Singapore-nodejs\Change\gifbooth\server.js], rss=47976448, heapTotal=26750976, heapUsed=21468072, external=1868244, loadavg=[0, 0, 0], uptime=260216.3589193, trace=[], stack=[Error: ENOENT: no such file or directory, open 'F:\Client-task\Singapore-nodejs\Change\gifbooth\public\photos\topbanner.jpg']
2017-10-20T07:18:25.953Z - error: uncaughtException: ENOENT: no such file or directory, open 'F:\Client-task\Singapore-nodejs\Change\gifbooth\public\photos\topbanner.jpg' date=Fri Oct 20 2017 12:48:25 GMT+0530 (India Standard Time), pid=329008, uid=null, gid=null, cwd=F:\Client-task\Singapore-nodejs\Change\gifbooth, execPath=C:\Program Files\nodejs\node.exe, version=v8.2.1, argv=[C:\Program Files\nodejs\node.exe, F:\Client-task\Singapore-nodejs\Change\gifbooth\server.js], rss=46993408, heapTotal=27275264, heapUsed=21889440, external=2326996, loadavg=[0, 0, 0], uptime=260738.1587922, trace=[], stack=[Error: ENOENT: no such file or directory, open 'F:\Client-task\Singapore-nodejs\Change\gifbooth\public\photos\topbanner.jpg']
2017-10-20T07:32:34.834Z - error: uncaughtException: ENOENT: no such file or directory, open 'F:\Client-task\Singapore-nodejs\Change\gifbooth\public\photos\topbanner.jpg' date=Fri Oct 20 2017 13:02:34 GMT+0530 (India Standard Time), pid=329008, uid=null, gid=null, cwd=F:\Client-task\Singapore-nodejs\Change\gifbooth, execPath=C:\Program Files\nodejs\node.exe, version=v8.2.1, argv=[C:\Program Files\nodejs\node.exe, F:\Client-task\Singapore-nodejs\Change\gifbooth\server.js], rss=35258368, heapTotal=27275264, heapUsed=22963440, external=3375572, loadavg=[0, 0, 0], uptime=261587.0396382, trace=[], stack=[Error: ENOENT: no such file or directory, open 'F:\Client-task\Singapore-nodejs\Change\gifbooth\public\photos\topbanner.jpg']
2017-10-20T07:40:14.530Z - error: uncaughtException: ENOENT: no such file or directory, open 'F:\Client-task\Singapore-nodejs\Change\gifbooth\public\photos\topbanner.jpg' date=Fri Oct 20 2017 13:10:14 GMT+0530 (India Standard Time), pid=329008, uid=null, gid=null, cwd=F:\Client-task\Singapore-nodejs\Change\gifbooth, execPath=C:\Program Files\nodejs\node.exe, version=v8.2.1, argv=[C:\Program Files\nodejs\node.exe, F:\Client-task\Singapore-nodejs\Change\gifbooth\server.js], rss=33988608, heapTotal=27275264, heapUsed=22621360, external=3113428, loadavg=[0, 0, 0], uptime=262046.7354935, trace=[], stack=[Error: ENOENT: no such file or directory, open 'F:\Client-task\Singapore-nodejs\Change\gifbooth\public\photos\topbanner.jpg']
2017-10-20T07:40:57.502Z - error: uncaughtException: ENOENT: no such file or directory, open 'F:\Client-task\Singapore-nodejs\Change\gifbooth\public\photos\topbanner.jpg' date=Fri Oct 20 2017 13:10:57 GMT+0530 (India Standard Time), pid=329008, uid=null, gid=null, cwd=F:\Client-task\Singapore-nodejs\Change\gifbooth, execPath=C:\Program Files\nodejs\node.exe, version=v8.2.1, argv=[C:\Program Files\nodejs\node.exe, F:\Client-task\Singapore-nodejs\Change\gifbooth\server.js], rss=34516992, heapTotal=27799552, heapUsed=23498936, external=3506644, loadavg=[0, 0, 0], uptime=262089.7068209, trace=[], stack=[Error: ENOENT: no such file or directory, open 'F:\Client-task\Singapore-nodejs\Change\gifbooth\public\photos\topbanner.jpg']
2017-10-20T07:59:55.363Z - error: uncaughtException: ENOENT: no such file or directory, open 'F:\Client-task\Singapore-nodejs\Change\gifbooth\public\photos\topbanner.jpg' date=Fri Oct 20 2017 13:29:55 GMT+0530 (India Standard Time), pid=329008, uid=null, gid=null, cwd=F:\Client-task\Singapore-nodejs\Change\gifbooth, execPath=C:\Program Files\nodejs\node.exe, version=v8.2.1, argv=[C:\Program Files\nodejs\node.exe, F:\Client-task\Singapore-nodejs\Change\gifbooth\server.js], rss=38690816, heapTotal=28848128, heapUsed=23903456, external=3645908, loadavg=[0, 0, 0], uptime=263227.5687599, trace=[], stack=[Error: ENOENT: no such file or directory, open 'F:\Client-task\Singapore-nodejs\Change\gifbooth\public\photos\topbanner.jpg']
2017-10-20T08:00:03.632Z - error: uncaughtException: ENOENT: no such file or directory, open 'F:\Client-task\Singapore-nodejs\Change\gifbooth\public\photos\topbanner.jpg' date=Fri Oct 20 2017 13:30:03 GMT+0530 (India Standard Time), pid=329008, uid=null, gid=null, cwd=F:\Client-task\Singapore-nodejs\Change\gifbooth, execPath=C:\Program Files\nodejs\node.exe, version=v8.2.1, argv=[C:\Program Files\nodejs\node.exe, F:\Client-task\Singapore-nodejs\Change\gifbooth\server.js], rss=38928384, heapTotal=28848128, heapUsed=24461456, external=4170196, loadavg=[0, 0, 0], uptime=263235.8373928, trace=[], stack=[Error: ENOENT: no such file or directory, open 'F:\Client-task\Singapore-nodejs\Change\gifbooth\public\photos\topbanner.jpg']
2017-10-20T08:10:42.759Z - error: uncaughtException: ENOENT: no such file or directory, open 'F:\Client-task\Singapore-nodejs\Change\gifbooth\public\photos\topbanner.jpg' date=Fri Oct 20 2017 13:40:42 GMT+0530 (India Standard Time), pid=329008, uid=null, gid=null, cwd=F:\Client-task\Singapore-nodejs\Change\gifbooth, execPath=C:\Program Files\nodejs\node.exe, version=v8.2.1, argv=[C:\Program Files\nodejs\node.exe, F:\Client-task\Singapore-nodejs\Change\gifbooth\server.js], rss=40660992, heapTotal=29372416, heapUsed=24944120, external=4439432, loadavg=[0, 0, 0], uptime=263874.9618197, trace=[], stack=[Error: ENOENT: no such file or directory, open 'F:\Client-task\Singapore-nodejs\Change\gifbooth\public\photos\topbanner.jpg']
2017-10-20T08:11:35.641Z - error: uncaughtException: ENOENT: no such file or directory, open 'F:\Client-task\Singapore-nodejs\Change\gifbooth\public\photos\topbanner.jpg' date=Fri Oct 20 2017 13:41:35 GMT+0530 (India Standard Time), pid=329008, uid=null, gid=null, cwd=F:\Client-task\Singapore-nodejs\Change\gifbooth, execPath=C:\Program Files\nodejs\node.exe, version=v8.2.1, argv=[C:\Program Files\nodejs\node.exe, F:\Client-task\Singapore-nodejs\Change\gifbooth\server.js], rss=47726592, heapTotal=29896704, heapUsed=26058152, external=10009992, loadavg=[0, 0, 0], uptime=263927.8451367, trace=[], stack=[Error: ENOENT: no such file or directory, open 'F:\Client-task\Singapore-nodejs\Change\gifbooth\public\photos\topbanner.jpg']
2017-10-20T08:18:40.387Z - error: uncaughtException: ENOENT: no such file or directory, open 'F:\Client-task\Singapore-nodejs\Change\gifbooth\public\photos\topbanner.jpg' date=Fri Oct 20 2017 13:48:40 GMT+0530 (India Standard Time), pid=329008, uid=null, gid=null, cwd=F:\Client-task\Singapore-nodejs\Change\gifbooth, execPath=C:\Program Files\nodejs\node.exe, version=v8.2.1, argv=[C:\Program Files\nodejs\node.exe, F:\Client-task\Singapore-nodejs\Change\gifbooth\server.js], rss=45105152, heapTotal=30420992, heapUsed=26528336, external=7259844, loadavg=[0, 0, 0], uptime=264352.5912218, trace=[], stack=[Error: ENOENT: no such file or directory, open 'F:\Client-task\Singapore-nodejs\Change\gifbooth\public\photos\topbanner.jpg']
2017-10-20T08:19:48.576Z - error: uncaughtException: ENOENT: no such file or directory, open 'F:\Client-task\Singapore-nodejs\Change\gifbooth\public\photos\topbanner.jpg' date=Fri Oct 20 2017 13:49:48 GMT+0530 (India Standard Time), pid=329008, uid=null, gid=null, cwd=F:\Client-task\Singapore-nodejs\Change\gifbooth, execPath=C:\Program Files\nodejs\node.exe, version=v8.2.1, argv=[C:\Program Files\nodejs\node.exe, F:\Client-task\Singapore-nodejs\Change\gifbooth\server.js], rss=43483136, heapTotal=30420992, heapUsed=26722024, external=6166232, loadavg=[0, 0, 0], uptime=264420.7816119, trace=[], stack=[Error: ENOENT: no such file or directory, open 'F:\Client-task\Singapore-nodejs\Change\gifbooth\public\photos\topbanner.jpg']
